Accuracy,Precision,Recall,F1,Type,Config
0.8340451480858313,0.817009245873499,0.8340451480858313,0.8045674355070824,SVM,"{'kernel': 'linear_svc', 'C': 1.0}"
0.8877087829828088,0.8838681977141176,0.8877087829828088,0.8842174027002674,SVM,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
0.8773369954890952,0.872692820108191,0.8773369954890952,0.8730464048448289,SVM,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'heuristic'}"
0.8356249254714095,0.8333278293814379,0.8356249254714095,0.8317053007066925,SVM,"{'kernel': 'poly', 'degree': 2, 'C': 1.0}"
0.8935721054010393,0.889580560665431,0.8935721054010393,0.8894622521892334,MLP,"{'hidden_layers': [50], 'dropout': 0.0, 'lr': 0.001, 'epochs': 50}"
0.8965029279252491,0.8935287232703676,0.8965029279252491,0.8937816731783327,MLP,"{'hidden_layers': [100, 50], 'dropout': 0.2, 'lr': 0.001, 'epochs': 50}"
0.8983061004720119,0.8949742132879269,0.8983061004720119,0.8941826240633111,MLP,"{'hidden_layers': [200, 100, 50], 'dropout': 0.5, 'lr': 0.001, 'epochs': 100}"
0.8340456055503253,0.8175163631065564,0.8340456055503253,0.8018660178702297,Feature+LinearSVM,pca {'n_components': 15}
0.8626795281284242,0.8534369871762596,0.8626795281284242,0.8551507502108141,Feature+LinearSVM,"kpca {'n_components': 15, 'kernel': 'rbf', 'gamma': None}"
0.8308883381016382,0.8101192202966979,0.8308883381016382,0.8000301382568921,Feature+LinearSVM,fda {'n_components': 5}
0.9019144279116776,0.8980921150330751,0.9019144279116776,0.8984673623620973,Feature+LinearSVM,"kfda {'n_components': 5, 'kernel': 'rbf', 'gamma': 'scale'}"
